dataset	sample	score	ontology	similarity	pca	Celltype..Original.	Consortia	Library	CellType..Condensed.
Original	R_ENCBS947JRD	0.0362366202042664	Cosine	Pearson	PC 1-4	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
Original	R_ENCBS935VKR	-0.095455878786339	Cosine	Pearson	PC 1-4	Right Renal Pelvis	Roadmap	Single	Kidney
Original	E_371OZD_227VDO	-0.173367807172588	Cosine	Pearson	PC 1-4	Adrenal Gland	ENCODE	Paired	Intestine
Original	B_S00D6311	0.299419146789979	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	R_ENCBS200XAZ	0.124614769915666	Cosine	Pearson	PC 1-4	Adrenal Gland	Roadmap	Single	Kidney
Original	R_ENCBS034SKE	-0.0363617173721697	Cosine	Pearson	PC 1-4	Kidney	Roadmap	Single	Kidney
Original	R_ENCBS373RUA	-0.139622534010031	Cosine	Pearson	PC 1-4	Spinal Cord	Roadmap	Single	Spinal Cord
Original	R_ENCBS055ULH	-0.0776290152378845	Cosine	Pearson	PC 1-4	Left Renal Pelvis	Roadmap	Single	Kidney
Original	B_S013N111	0.28030034854769	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	R_ENCBS716QQK	-0.188956750044365	Cosine	Pearson	PC 1-4	Stomach	Roadmap	Single	Stomach
Original	R_ENCBS754ANY	0.00585181901408002	Cosine	Pearson	PC 1-4	Left Renal Pelvis	Roadmap	Single	Kidney
Original	R_ENCBS599YIE	-0.1540825755979	Cosine	Pearson	PC 1-4	Fibroblast Of Skin Of Abdomen	Roadmap	Single	Fibroblast
Original	B_S00XXH11	0.272984187365105	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	R_ENCBS818WCN	-0.0119032016356706	Cosine	Pearson	PC 1-4	Right Renal Cortex Interstitium	Roadmap	Single	Kidney
Original	R_ENCBS997WGU	-0.171457510655248	Cosine	Pearson	PC 1-4	Large Intestine	Roadmap	Single	Intestine
Original	R_ENCBS660CJK	0.131553436628555	Cosine	Pearson	PC 1-4	Adrenal Gland	Roadmap	Single	Kidney
Original	R_ENCBS100DZU	-0.020663122942582	Cosine	Pearson	PC 1-4	Right Renal Cortex Interstitium	Roadmap	Single	Kidney
Original	E_020UWI_887WTT	0.223826379916105	Cosine	Pearson	PC 1-4	Uterus	ENCODE	Paired	Uterus
Original	R_ENCBS859ASH	0.167434081337011	Cosine	Pearson	PC 1-4	Left Lung	Roadmap	Single	Lung
Original	B_C006NSB1	-0.0533774507296992	Cosine	Pearson	PC 1-4	Cd34-Negative, Cd41-Positive, Cd42-Positive Megakaryocyte Cell	Blueprint	Paired	Megakaryocyte
Original	R_ENCBS878MRX	-0.197039468624165	Cosine	Pearson	PC 1-4	Stomach	Roadmap	Single	Stomach
Original	R_ENCBS300UPT	-0.122914371593037	Cosine	Pearson	PC 1-4	Spinal Cord	Roadmap	Single	Spinal Cord
Original	E_665DRD	0.437219511327504	Cosine	Pearson	PC 1-4	Skeletal Muscle Myoblast	ENCODE	Single	Skeletal Muscle Myoblast
Original	B_S001MJ12	-0.0557063590463545	Cosine	Pearson	PC 1-4	Inflammatory Macrophage	Blueprint	Paired	Inflammatory Macrophage
Original	B_S00Y0511	0.320350712181083	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	E_112ENC_124GGK_774AAA_719AAA_743IPG	0.173843495140455	Cosine	Pearson	PC 1-4	Endothelial Cell Of Umbilical Vein	ENCODE	Single	Endothelial Cell Of Umbilical Vein
Original	B_S001S714	-0.0556830239678806	Cosine	Pearson	PC 1-4	Macrophage	Blueprint	Paired	Macrophage
Original	B_S013RU11	0.301903104485426	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	R_ENCBS174IGM	0.0691389776577971	Cosine	Pearson	PC 1-4	Muscle Of Back	Roadmap	Single	Muscle Of Back
Original	R_ENCBS516CJQ	0.0522330988266266	Cosine	Pearson	PC 1-4	Muscle Of Arm	Roadmap	Single	Muscle Of Arm
Original	E_374AAA	0.291476721293086	Cosine	Pearson	PC 1-4	Bipolar Spindle Neuron	ENCODE	Paired	Bipolar Spindle Neuron
Original	R_ENCBS407ALA	-0.191249088349915	Cosine	Pearson	PC 1-4	Heart	Roadmap	Single	Heart
Original	E_485ENC	0.36038873504995	Cosine	Pearson	PC 1-4	Hematopoietic Multipotent Progenitor Cell	ENCODE	Single	Hematopoietic Multipotent Progenitor Cell
Original	R_ENCBS011TVS	0.0679471168844678	Cosine	Pearson	PC 1-4	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
Original	R_ENCBS281CNH	-0.0253801925822633	Cosine	Pearson	PC 1-4	Left Renal Cortex Interstitium	Roadmap	Single	Kidney
Original	E_297CQV_291AAA_624XJG	0.424479866492458	Cosine	Pearson	PC 1-4	H7-Hesc	ENCODE	Single	H7-Hesc
Original	B_S013M311	0.290487952544593	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	E_340AAA_936GPP_612ENC_613ENC	-0.193891818293583	Cosine	Pearson	PC 1-4	Fibroblast Of Lung	ENCODE	Single	Fibroblast
Original	B_S00D4711	0.317185124561793	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	B_S00XVL11	0.27340299061561	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	E_767POE_974EYF	0.144045350146502	Cosine	Pearson	PC 1-4	Transverse Colon	ENCODE	Paired	Transverse Colon
Original	R_ENCBS855RFN	0.00861684955137303	Cosine	Pearson	PC 1-4	Right Renal Pelvis	Roadmap	Single	Kidney
Original	R_ENCBS226ZND	-0.0904962626082986	Cosine	Pearson	PC 1-4	Left Renal Pelvis	Roadmap	Single	Kidney
Original	R_ENCBS578HBL	-0.13828947567402	Cosine	Pearson	PC 1-4	Stomach	Roadmap	Single	Stomach
Original	E_044KWE	0.340575762535305	Cosine	Pearson	PC 1-4	Neural Progenitor Cell	ENCODE	Paired	Neural Progenitor Cell
Original	E_004ENC_008ENC	-0.196569257239104	Cosine	Pearson	PC 1-4	Fibroblast Of Lung	ENCODE	Single	Fibroblast
Original	R_ENCBS517FUR	0.0766284809304901	Cosine	Pearson	PC 1-4	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
Original	R_ENCBS145EYH	0.00846211100031866	Cosine	Pearson	PC 1-4	Right Renal Pelvis	Roadmap	Single	Kidney
Original	R_ENCBS257BTU	0.00906080182285046	Cosine	Pearson	PC 1-4	Left Renal Pelvis	Roadmap	Single	Kidney
Original	R_ENCBS008QPC	-0.203904597258067	Cosine	Pearson	PC 1-4	Psoas Muscle	Roadmap	Single	Psoas Muscle
Original	B_S013QW11	0.281160061965151	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	R_ENCBS090AGL	-0.173402540558243	Cosine	Pearson	PC 1-4	Muscle Of Arm	Roadmap	Single	Muscle Of Arm
Original	R_ENCBS610XAP	0.0087028154130699	Cosine	Pearson	PC 1-4	Left Kidney	Roadmap	Single	Kidney
Original	B_S00D3911	0.284814458070369	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	E_369AAA	0.297282939939847	Cosine	Pearson	PC 1-4	Bipolar Spindle Neuron	ENCODE	Paired	Bipolar Spindle Neuron
Original	R_ENCBS220QDW	-0.19183948389526	Cosine	Pearson	PC 1-4	Stomach	Roadmap	Single	Stomach
Original	R_ENCBS136EGD	0.0519457259044638	Cosine	Pearson	PC 1-4	Muscle Of Back	Roadmap	Single	Muscle Of Back
Original	R_ENCBS054CPR	-0.377187301487597	Cosine	Pearson	PC 1-4	Thymus	Roadmap	Single	Thymus
Original	R_ENCBS516MKG	0.166917523699163	Cosine	Pearson	PC 1-4	Left Lung	Roadmap	Single	Lung
Original	B_C001UYB4	-0.11323804584932	Cosine	Pearson	PC 1-4	Cd14-Positive Monocyte	Blueprint	Paired	Monocyte
Original	E_021ENC	0.261848309651979	Cosine	Pearson	PC 1-4	Astrocyte	ENCODE	Single	Astrocyte
Original	E_942WBM_724UYV	-0.177278636225188	Cosine	Pearson	PC 1-4	Adrenal Gland	ENCODE	Paired	Intestine
Original	E_526EMC	0.420648213511749	Cosine	Pearson	PC 1-4	Myotube	ENCODE	Single	Myotube
Original	B_S00JRB11	-0.0452817197786379	Cosine	Pearson	PC 1-4	Macrophage - Lps	Blueprint	Single	Macrophage - Lps
Original	R_ENCBS405WVO	-0.107719887076219	Cosine	Pearson	PC 1-4	Fibroblast Of Skin Of Abdomen	Roadmap	Single	Fibroblast
Original	R_ENCBS142XDW	0.00873535963214086	Cosine	Pearson	PC 1-4	Renal Pelvis	Roadmap	Single	Kidney
Original	R_ENCBS183TBX	0.00853763815023805	Cosine	Pearson	PC 1-4	Right Renal Cortex Interstitium	Roadmap	Single	Kidney
Original	R_ENCBS574MIZ	0.166192131820092	Cosine	Pearson	PC 1-4	Left Lung	Roadmap	Single	Lung
Original	B_S00XYF11	0.270946666565724	Cosine	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	X4103	-0.00959623746805507	Cosine	Pearson	PC 1-4	Hepatocyte	DEEP	Paired	Hepatocyte
Original	B_S00JQD11	-0.0397027937803341	Cosine	Pearson	PC 1-4	Macrophage	Blueprint	Single	Macrophage
Original	B_S002R512	0.357859127562781	Cosine	Pearson	PC 1-4	Erythroblast	Blueprint	Paired	Erythroblast
