names	tissues	correlation	ontology	similarity.measure	expr.distance	status
29	SRR604342_Thyroid	thyroid	0.715563866125199	Cosine	Spearman	Spearman	log2
30	SRR603268_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
31	SRR603942_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
32	SRR608512_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
33	SRR607502_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
34	SRR613402_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
35	SRR614912_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
36	SRR613018_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
37	SRR613258_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
38	SRR613795_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
39	SRR615285_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
40	SRR613975_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
41	SRR613711_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
42	SRR614023_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
43	SRR614107_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
44	SRR614275_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
45	SRR615347_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
46	SRR614743_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
47	SRR615886_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
48	SRR615491_Thyroid	thyroid	0.830348044962321	Cosine	Spearman	Spearman	log2
49	SRR654754_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
50	SRR655696_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
51	SRR654969_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
52	SRR655076_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
53	SRR658009_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
54	SRR655780_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
55	SRR655495_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
56	SRR656035_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
57	SRR657821_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
58	SRR657809_Prostate	prostate	0.0390872627412995	Cosine	Spearman	Spearman	log2
59	SRR655277_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
60	SRR656191_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
61	SRR658021_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
62	SRR658117_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
63	SRR656469_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
64	SRR656528_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
65	SRR656373_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
66	SRR657101_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
67	SRR657360_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
68	SRR657372_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
69	SRR657420_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
70	SRR657845_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
71	SRR658573_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
72	SRR659649_Liver	liver	0.0691509716231457	Cosine	Spearman	Spearman	log2
73	SRR659744_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
74	SRR659578_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
75	SRR659133_Thyroid	thyroid	0.830348044962321	Cosine	Spearman	Spearman	log2
76	SRR659923_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
77	SRR659947_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
78	SRR659851_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
79	SRR659259_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
80	SRR660079_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
81	SRR660212_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
82	SRR660236_Thyroid	thyroid	0.830348044962321	Cosine	Spearman	Spearman	log2
83	SRR660438_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
84	SRR665646_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
85	SRR665490_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
86	SRR661052_Prostate	prostate	0.739553984348238	Cosine	Spearman	Spearman	log2
87	SRR663368_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
88	SRR663380_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
89	SRR663392_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
90	SRR661409_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
91	SRR661493_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
92	SRR661711_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
93	SRR661794_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
94	SRR663149_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
95	SRR662510_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
96	SRR663795_Thyroid	thyroid	0.830348044962321	Cosine	Spearman	Spearman	log2
97	SRR807751_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
98	SRR807799_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
99	SRR807971_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
100	SRR807995_Liver	liver	0.0691509716231457	Cosine	Spearman	Spearman	log2
101	SRR808638_Colon_Transverse	colon	0.538487232070256	Cosine	Spearman	Spearman	log2
102	SRR808658_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
103	SRR808886_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
104	SRR809043_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
105	SRR809503_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
106	SRR809565_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
107	SRR809943_Kidney_Cortex	kidney	0.75542170795445	Cosine	Spearman	Spearman	log2
108	SRR810007_Kidney_Cortex	kidney	0.75542170795445	Cosine	Spearman	Spearman	log2
109	SRR810153_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
110	SRR810343_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
111	SRR810805_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
112	SRR812270_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
113	SRR812697_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
114	SRR812721_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
115	SRR813108_Prostate	prostate	0.739553984348238	Cosine	Spearman	Spearman	log2
116	SRR813529_Colon_Transverse	colon	0.538487232070256	Cosine	Spearman	Spearman	log2
117	SRR813848_Thyroid	thyroid	0.830348044962321	Cosine	Spearman	Spearman	log2
118	SRR814108_Colon_Transverse	colon	0.538487232070256	Cosine	Spearman	Spearman	log2
119	SRR814919_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
120	SRR815140_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
121	SRR815280_Prostate	prostate	0.283431339639793	Cosine	Spearman	Spearman	log2
122	SRR815542_Prostate	prostate	0.739553984348238	Cosine	Spearman	Spearman	log2
123	SRR815711_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
124	SRR815845_Prostate	prostate	0.0390872627412995	Cosine	Spearman	Spearman	log2
125	SRR816096_Colon_Transverse	colon	0.420640766994249	Cosine	Spearman	Spearman	log2
126	SRR816794_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
127	SRR816818_Prostate	prostate	0.0390872627412995	Cosine	Spearman	Spearman	log2
128	SRR816892_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
129	SRR816969_Prostate	prostate	0.739553984348238	Cosine	Spearman	Spearman	log2
130	SRR818523_Colon_Transverse	colon	0.579948009276494	Cosine	Spearman	Spearman	log2
131	SRR818749_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
132	SRR819486_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
133	SRR819690_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
134	SRR819867_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
135	SRR820186_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
136	SRR820234_Prostate	prostate	0.0390872627412995	Cosine	Spearman	Spearman	log2
137	SRR821043_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
138	SRR821148_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
139	SRR821176_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
140	SRR821207_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
141	SRR821356_Kidney_Cortex	kidney	0.75542170795445	Cosine	Spearman	Spearman	log2
142	SRR1069141_Liver	liver	0.0691509716231457	Cosine	Spearman	Spearman	log2
143	SRR1069209_Prostate	prostate	0.804489937743745	Cosine	Spearman	Spearman	log2
144	SRR1069279_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
145	SRR1069514_Prostate	prostate	0.0390872627412995	Cosine	Spearman	Spearman	log2
146	SRR1069850_Colon_Transverse	colon	0.538487232070256	Cosine	Spearman	Spearman	log2
147	SRR1069943_Colon_Sigmoid	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
148	SRR1069991_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
149	SRR1070689_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
150	SRR1070863_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
151	SRR1070960_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
152	SRR1071668_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
153	SRR1071807_Kidney_Cortex	kidney	0.75542170795445	Cosine	Spearman	Spearman	log2
154	SRR1072578_Colon_Transverse	colon	0.579948009276494	Cosine	Spearman	Spearman	log2
155	SRR1073069_Prostate	prostate	0.739553984348238	Cosine	Spearman	Spearman	log2
156	SRR1073217_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
157	SRR1073267_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
158	SRR1073341_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
159	SRR1073435_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
160	SRR1073655_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
161	SRR1073899_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
162	SRR1073971_Colon_Transverse	colon	0.420640766994249	Cosine	Spearman	Spearman	log2
163	SRR1074189_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
164	SRR1074239_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
165	SRR1074314_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
166	SRR1074337_Colon_Sigmoid	colon	0.420640766994249	Cosine	Spearman	Spearman	log2
167	SRR1074410_Prostate	prostate	0.0390872627412995	Cosine	Spearman	Spearman	log2
168	SRR1074694_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
169	SRR1075078_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
170	SRR1075102_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
171	SRR1075126_Prostate	prostate	0.0390872627412995	Cosine	Spearman	Spearman	log2
172	SRR1075530_Prostate	prostate	0.0390872627412995	Cosine	Spearman	Spearman	log2
173	SRR1075729_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
174	SRR1075804_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
175	SRR1076022_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
176	SRR1076120_Prostate	prostate	0.691232969613731	Cosine	Spearman	Spearman	log2
177	SRR1076753_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
178	SRR1076940_Colon_Transverse	colon	0.420640766994249	Cosine	Spearman	Spearman	log2
179	SRR1077066_Colon_Transverse	colon	0.420640766994249	Cosine	Spearman	Spearman	log2
180	SRR1077380_Colon_Sigmoid	colon	0.420640766994249	Cosine	Spearman	Spearman	log2
181	SRR1077429_Prostate	prostate	0.283431339639793	Cosine	Spearman	Spearman	log2
182	SRR1077667_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
183	SRR1078164_Prostate	prostate	0.691232969613731	Cosine	Spearman	Spearman	log2
184	SRR1078278_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
185	SRR1078684_Prostate	prostate	0.739553984348238	Cosine	Spearman	Spearman	log2
186	SRR1078855_Prostate	prostate	0.0390872627412995	Cosine	Spearman	Spearman	log2
187	SRR1078948_Colon_Transverse	colon	0.538487232070256	Cosine	Spearman	Spearman	log2
188	SRR1079567_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
189	SRR1080117_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
190	SRR1080222_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
191	SRR1080294_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
192	SRR1080318_Prostate	prostate	0.804489937743745	Cosine	Spearman	Spearman	log2
193	SRR1080366_Kidney_Cortex	kidney	0.75542170795445	Cosine	Spearman	Spearman	log2
194	SRR1080696_Prostate	prostate	0.691232969613731	Cosine	Spearman	Spearman	log2
195	SRR1080951_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
196	SRR1081068_Colon_Sigmoid	colon	0.420640766994249	Cosine	Spearman	Spearman	log2
197	SRR1081116_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
198	SRR1081184_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
199	SRR1081332_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
200	SRR1081493_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
201	SRR1081789_Prostate	prostate	0.739553984348238	Cosine	Spearman	Spearman	log2
202	SRR1081813_Colon_Transverse	colon	0.579948009276494	Cosine	Spearman	Spearman	log2
203	SRR1082151_Liver	liver	0.0691509716231457	Cosine	Spearman	Spearman	log2
204	SRR1082238_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
205	SRR1082496_Prostate	prostate	0.0390872627412995	Cosine	Spearman	Spearman	log2
206	SRR1082909_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
207	SRR1083031_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
208	SRR1083125_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
209	SRR1083456_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
210	SRR1083504_Colon_Sigmoid	colon	0.420640766994249	Cosine	Spearman	Spearman	log2
211	SRR1083678_Colon_Sigmoid	colon	0.538487232070256	Cosine	Spearman	Spearman	log2
212	SRR1083732_Prostate	prostate	0.739553984348238	Cosine	Spearman	Spearman	log2
213	SRR1083868_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
214	SRR1083983_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
215	SRR1084505_Colon_Sigmoid	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
216	SRR1085235_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
217	SRR1085259_Colon_Transverse	colon	0.579948009276494	Cosine	Spearman	Spearman	log2
218	SRR1085687_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
219	SRR1085759_Kidney_Cortex	kidney	0.75542170795445	Cosine	Spearman	Spearman	log2
220	SRR1086020_Colon_Sigmoid	colon	0.420640766994249	Cosine	Spearman	Spearman	log2
221	SRR1086164_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
222	SRR1086256_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
223	SRR1086441_Prostate	prostate	0.739553984348238	Cosine	Spearman	Spearman	log2
224	SRR1086514_Prostate	prostate	0.0390872627412995	Cosine	Spearman	Spearman	log2
225	SRR1086869_Prostate	prostate	0.283431339639793	Cosine	Spearman	Spearman	log2
226	SRR1087007_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
227	SRR1087271_Colon_Sigmoid	colon	0.420640766994249	Cosine	Spearman	Spearman	log2
228	SRR1087321_Liver	liver	0.0691509716231457	Cosine	Spearman	Spearman	log2
229	SRR1087704_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
230	SRR1087752_Colon_Transverse	colon	0.538487232070256	Cosine	Spearman	Spearman	log2
231	SRR1088044_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
232	SRR1088808_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
233	SRR1089207_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
234	SRR1089446_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
235	SRR1089504_Kidney_Cortex	kidney	0.852413424269537	Cosine	Spearman	Spearman	log2
236	SRR1089809_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
237	SRR1089926_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
238	SRR1090095_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
239	SRR1090119_Colon_Transverse	colon	0.538487232070256	Cosine	Spearman	Spearman	log2
240	SRR1090334_Colon_Transverse	colon	0.420640766994249	Cosine	Spearman	Spearman	log2
241	SRR1090383_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
242	SRR1090431_Colon_Sigmoid	colon	0.420640766994249	Cosine	Spearman	Spearman	log2
243	SRR1090556_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
244	SRR1090626_Colon_Transverse	colon	0.538487232070256	Cosine	Spearman	Spearman	log2
245	SRR1090770_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
246	SRR1090815_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
247	SRR1091054_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
248	SRR1091524_Colon_Sigmoid	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
249	SRR1091645_Prostate	prostate	0.0390872627412995	Cosine	Spearman	Spearman	log2
250	SRR1091865_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
251	SRR1091990_Prostate	prostate	0.0390872627412995	Cosine	Spearman	Spearman	log2
252	SRR1092397_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
253	SRR1092444_Prostate	prostate	0.283431339639793	Cosine	Spearman	Spearman	log2
254	SRR1092468_Prostate	prostate	0.0390872627412995	Cosine	Spearman	Spearman	log2
255	SRR1092493_Colon_Sigmoid	colon	0.420640766994249	Cosine	Spearman	Spearman	log2
256	SRR1092567_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
257	SRR1092636_Prostate	prostate	0.0390872627412995	Cosine	Spearman	Spearman	log2
258	SRR1092749_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
259	SRR1092913_Prostate	prostate	0.0390872627412995	Cosine	Spearman	Spearman	log2
260	SRR1093075_Prostate	prostate	0.739553984348238	Cosine	Spearman	Spearman	log2
261	SRR1093366_Colon_Sigmoid	colon	0.420640766994249	Cosine	Spearman	Spearman	log2
262	SRR1093697_Prostate	prostate	0.0390872627412995	Cosine	Spearman	Spearman	log2
263	SRR1093861_Liver	liver	0.0691509716231457	Cosine	Spearman	Spearman	log2
264	SRR1095383_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
265	SRR1095675_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
266	SRR1095792_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
267	SRR1095913_Liver	liver	0.0691509716231457	Cosine	Spearman	Spearman	log2
268	SRR1095937_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
269	SRR1096081_Prostate	prostate	0.691232969613731	Cosine	Spearman	Spearman	log2
270	SRR1096924_Colon_Transverse	colon	0.420640766994249	Cosine	Spearman	Spearman	log2
271	SRR1097344_Prostate	prostate	0.0390872627412995	Cosine	Spearman	Spearman	log2
272	SRR1097525_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
273	SRR1097708_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
274	SRR1097811_Colon_Transverse	colon	0.579948009276494	Cosine	Spearman	Spearman	log2
275	SRR1097905_Prostate	prostate	0.0390872627412995	Cosine	Spearman	Spearman	log2
276	SRR1098002_Colon_Transverse	colon	0.579948009276494	Cosine	Spearman	Spearman	log2
277	SRR1098098_Colon_Transverse	colon	0.420640766994249	Cosine	Spearman	Spearman	log2
278	SRR1098660_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
279	SRR1098686_Prostate	prostate	0.0390872627412995	Cosine	Spearman	Spearman	log2
280	SRR1098737_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
281	SRR1099354_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
282	SRR1099402_Prostate	prostate	0.739553984348238	Cosine	Spearman	Spearman	log2
283	SRR1099451_Colon_Transverse	colon	0.420640766994249	Cosine	Spearman	Spearman	log2
284	SRR1099520_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
285	SRR1099765_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
286	SRR1099931_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
287	SRR1100395_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
288	SRR1100991_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
289	SRR1101280_Colon_Transverse	colon	0.206984422867488	Cosine	Spearman	Spearman	log2
290	SRR1101741_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
291	SRR1101883_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
292	SRR1102152_Liver	liver	0.0691509716231457	Cosine	Spearman	Spearman	log2
293	SRR1102176_Colon_Transverse	colon	0.420640766994249	Cosine	Spearman	Spearman	log2
294	SRR1102198_Colon_Sigmoid	colon	0.420640766994249	Cosine	Spearman	Spearman	log2
295	SRR1102224_Colon_Sigmoid	colon	0.420640766994249	Cosine	Spearman	Spearman	log2
296	SRR1102899_Liver	liver	0.0691509716231457	Cosine	Spearman	Spearman	log2
297	SRR1102998_Colon_Sigmoid	colon	0.420640766994249	Cosine	Spearman	Spearman	log2
298	SRR1103072_Colon_Transverse	colon	0.420640766994249	Cosine	Spearman	Spearman	log2
299	SRR1105033_Colon_Transverse	colon	0.538487232070256	Cosine	Spearman	Spearman	log2
300	SRR1105248_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
301	SRR1105272_Kidney_Cortex	kidney	0.75542170795445	Cosine	Spearman	Spearman	log2
302	SRR1105441_Prostate	prostate	0.739553984348238	Cosine	Spearman	Spearman	log2
303	SRR1120733_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
304	SRR1120891_Colon_Transverse	colon	0.225451300242604	Cosine	Spearman	Spearman	log2
305	SRR1120939_Liver	liver	0.756543518527302	Cosine	Spearman	Spearman	log2
306	SRR1308269_Colon_Sigmoid	colon	0.420640766994249	Cosine	Spearman	Spearman	log2
307	SRR1308715_Thyroid	thyroid	0.941927500651504	Cosine	Spearman	Spearman	log2
